Sat_Name,Country,Country_of_Operator,Owner,Users,Purpose,Class_Of _Orbit,Type_Of_Orbit,Perigee_in_km,Apogee_in_km,Date_Of_Launch,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,COSPAR_Number,SatID,Comments
OneWeb-0656                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029X,55817,No Comments
OneWeb-0657                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029Y,55818,No Comments
OneWeb-0658                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029Z,55819,No Comments
OneWeb-0660                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029AA,55820,No Comments
OneWeb-0661                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029AB,55821,No Comments
OneWeb-0662                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029AC,55822,No Comments
OneWeb-0663                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029AD,55823,No Comments
OneWeb-0664                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029AE,55824,No Comments
OneWeb-0665                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029AF,55825,No Comments
OneWeb-0666                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029AG,55826,No Comments
OneWeb-0667                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029AH,55827,No Comments
OneWeb-0669                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029AJ,55828,No Comments
OneWeb-0670                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029AK,55829,No Comments
OneWeb-0671                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029AL,55830,No Comments
OneWeb-0718                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AM,56081,No Comments
SpaceBEE-156,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Falcon 9,2023-001CU,55099,Communications
SpaceBEE-157,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Fa,2023-001CX,55102,Communications
SpaceBEE-158,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Falcon 9,2023-001CV,55100,Communications
SpaceBEE-159,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Falcon 9,2023-001CW,55101,Communications
SpaceBEE-160,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Falcon 9,2023-001CS,55097,Communications
SpaceBEE-161,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Falcon 9,2023-001CR,55096,Communications
SpaceBEE-162,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Falcon 9,2023-001CQ,55095,Communications
SpaceBEE-163,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Falcon 9,2023-001CJ,55089,Communications
SpaceBEE-164,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Falcon 9,2023-001CL,55091,Communications
SpaceBEE-165,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Falcon 9,2023-001CP,55094,Communications
SpaceBEE-166,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Falcon 9,2023-001CM,55092,Communications
SpaceBEE-167,USA,USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,516,536,03/01/23,Swarm Technologies,USA,Cape Canaveral,Falcon 9,2023-001CG,55087,Communications
Starlink-4623                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AY,55315,No Comments
Starlink-4774                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046AX,56138,No Comments
Starlink-4786                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014C ,55393,No Comments
Starlink-5006                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014AH ,55422,No Comments
Starlink-5013                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015AV,55492,No Comments
Starlink-5016                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BC,56143,No Comments
Starlink-5016                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BC,56143,No Comments
Starlink-5019                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014S ,55407,No Comments
Starlink-5020                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015K,55458,No Comments
Starlink-5027                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,565,567,26/01/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-013AR,55370,No Comments
Starlink-5030                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014AD ,55418,No Comments
Starlink-5033                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014X ,55412,No Comments
Starlink-5047                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014U ,55409,No Comments
Starlink-5058                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015H,55456,No Comments
Starlink-5060                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014Y ,55413,No Comments
Starlink-5062                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021K,55637,No Comments
Starlink-5064                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014AP ,55428,No Comments
Starlink-5065                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021P,55641,No Comments
Starlink-5067                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021AB,55653,No Comments
Starlink-5068                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014AJ ,55423,No Comments
Starlink-5069                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021N,55640,No Comments
Starlink-5070                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021AC,55654,No Comments
Starlink-5071                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014M ,55402,No Comments
Starlink-5072                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,03/03/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-028T,55758,No Comments
Starlink-5073                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014AN ,55427,No Comments
Starlink-5074                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014AZ ,55438,No Comments
Starlink-5076                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014L ,55401,No Comments
Starlink-5077,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014A,55391,No Comments
Starlink-5080                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014AY ,55437,No Comments
Starlink-5081                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,03/03/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-028U,55759,No Comments
Starlink-5085                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014B ,55392,No Comments
Starlink-5089               ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BH,56148,No Comments
Starlink-5089               ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BH,56148,No Comments
Starlink-5090                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046AW,56137,No Comments
Starlink-5092                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014T ,55408,No Comments
Starlink-5100                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015AY,55495,No Comments
Starlink-5102                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021T,55645,No Comments
Starlink-5104                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021U,55646,No Comments
Starlink-5111                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BF,56146,No Comments
Starlink-5111                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BF,56146,No Comments
Starlink-5139                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015AZ,55496,No Comments
Starlink-5140 ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BG,56147,No Comments
Starlink-5140 ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BG,56147,No Comments
Starlink-5141                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015BD,55500,No Comments
Starlink-5180                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010BB,55318,No Comments
Starlink-5196                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010BC,55319,No Comments
Starlink-5218                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021J,55636,No Comments
Starlink-5224                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014G ,55397,No Comments
Starlink-5230                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014D ,55394,No Comments
Starlink-5232                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021AZ,55675,No Comments
Starlink-5236                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010F,55274,No Comments
Starlink-5257                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AZ,55316,No Comments
Starlink-5260                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010G,55275,No Comments
Starlink-5261                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010H,55276,No Comments
Starlink-5265                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010BA,55317,No Comments
Starlink-5266                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010X,55290,No Comments
Starlink-5267                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021AD,55655,No Comments
Starlink-5270                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AG,55299,No Comments
Starlink-5272,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AF,55298,No Comments
Starlink-5274                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014E ,55395,No Comments
Starlink-5275                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014H ,55398,No Comments
Starlink-5276                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014J ,55399,No Comments
Starlink-5277,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010A,55269,No Comments
Starlink-5283                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,580,583,31/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-014F ,55396,No Comments
Starlink-5284                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AE,55297,No Comments
Starlink-5285                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AD,55296,No Comments
Starlink-5286                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AB,55294,No Comments
Starlink-5287                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AA,55293,No Comments
Starlink-5288                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AQ,55307,No Comments
Starlink-5289                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010K,55278,No Comments
Starlink-5291                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010E,55273,No Comments
Starlink-5292                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AR,55308,No Comments
Starlink-5293                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AC,55295,No Comments
Starlink-5295                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AP,55306,No Comments
Starlink-5296                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AV,55312,No Comments
Starlink-5298                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010N,55281,No Comments
Starlink-5299                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010J,55277,No Comments
Starlink-5300                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021BA,55676,No Comments
Starlink-5301,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010B,55270,No Comments
Starlink-5303                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021C,55630,No Comments
Starlink-5305                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AX,55314,No Comments
Starlink-5306                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010C,55271,No Comments
Starlink-5307                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021AG,55658,No Comments
Starlink-5308                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AH,55300,No Comments
Starlink-5309                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AT,55310,No Comments
Starlink-5310                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010D,55272,No Comments
Starlink-5311                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010V,55288,No Comments
Starlink-5312                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AU,55311,No Comments
Starlink-5313                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AW,55313,No Comments
Starlink-5314                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021BC,55678,No Comments
Starlink-5315                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AS,55309,No Comments
Starlink-5316                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AN,55305,No Comments
Starlink-5317                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010Q,55283,No Comments
Starlink-5318                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AM,55304,No Comments
Starlink-5320                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010W,55289,No Comments
Starlink-5321                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AK,55302,No Comments
Starlink-5322                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010AL,55303,No Comments
Starlink-5323                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010L,55279,No Comments
Starlink-5324                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021BB,55677,No Comments
Starlink-5325                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010Z,55292,No Comments
Starlink-5326                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021AE,55656,No Comments
Starlink-5327                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010Y,55291,No Comments
Starlink-5328                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,581,17/02/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-021AF,55657,No Comments
Starlink-5330                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010P,55282,No Comments
Starlink-5331                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010M,55280,No Comments
Starlink-5332                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010S,55285,No Comments
Starlink-5337                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010R,55284,No Comments
Starlink-5338                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010T,55286,No Comments
Starlink-5341                ,USA,USA,SpaceX,Commercial,Communications,LEO,Polar,577,580,19/01/23,SpaceX,USA,Vandenberg AFB,Falcon 9,2023-010U,55287,No Comments
Starlink-5344                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015AX,55494,No Comments
Starlink-5362                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015AW,55493,No Comments
Starlink-5363                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015BA,55497,No Comments
Starlink-5364                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015AU,55491,No Comments
Starlink-5365                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015BB,55498,No Comments
Starlink-5366                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015BC,55499,No Comments
Starlink-5367,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015BE,55501,No Comments
Starlink-5370                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BE,56145,No Comments
Starlink-5370                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BE,56145,No Comments
Starlink-5373                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,323,342,02/02/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015AT,55490,No Comments
Starlink-5374                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BD,56144,No Comments
Starlink-5374                ,USA,USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,564,567,29/03/23,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BD,56144,No Comments
