Sat_Name,Country,Country_of_Operator,Owner,Users,Purpose,Class_Of _Orbit,Type_Of_Orbit,Perigee_in_km,Apogee_in_km,Date_Of_Launch,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,COSPAR_Number,SatID,Comments
Dove 4y-30 (0 Flock 4y30 24C0),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,524,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001S,55025,No Comments
Dove 4y-31 (0 Flock 4y-31 24be),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,524,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001BU,55075,No Comments
Dove 4y-32 (0 Flock 4y32 24b6),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,517,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001N,55021,No Comments
Dove 4y-33 (0 Flock 4y-33 24bf),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,524,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001AK,55042,No Comments
Dove 4y-34 (0 Flock 4y-34 24cc),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,524,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001CB,55082,No Comments
Dove 4y-35 (0 Flock 4y-35 24c5),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,517,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001BA,55057,No Comments
Dove 4y-36 (0 Flock 4y-36 24d0),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,518,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001BX,55078,No Comments
Dove 4y-4 (0 Flock 4y-4 24b0),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,518,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001AY,55055,No Comments
Dove 4y-5 (0 Flock 4y5 24b4),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,523,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001V,55028,No Comments
Dove 4y-6 (0 Flock 4y-6 24af),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,518,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001BK,55066,No Comments
Dove 4y-7 (0 Flock 4y7 2417),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,522,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001Z,55032,No Comments
Dove 4y-8 (0 Flock 4y-8 24ab),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,517,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001BQ,55071,No Comments
Dove 4y-9 (0 Flock 4y-9 24a8),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,517,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001BN,55069,No Comments
_MECE,Turkey,Turkey,T†B_TAK Space Technologies Research Institute,Civil,Earth Observation,LEO,Sun-Synchronous,668,679,15/04/23,T†B_TAK Space Technologies Research Institute,Turkey,Vandenberg AFB,Falcon 9,2023-054A,56178,Turkey's first earth observation satellite.
"Navstar GPS III-6 (Navstar SVN 79, PRN 28, USA 343)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,"20,177","20,203",18/01/23,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Falcon 9,2023-009A,55268,No Comments
„uSat-32 (Albania-1),Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,521,537,03/01/23,Satellogic,Argentina,Cape Canaveral,Falcon 9,2023-001BH,55064,Collaboration with Albania and dedicated usage of satellite by Albania.
„uSat-33 (Albania-2),Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,521,537,03/01/23,Satellogic,Argentina,Cape Canaveral,Falcon 9,2023-001AQ,55047,Collaboration with Albania and dedicated usage of satellite by Albania.
„uSat-34 (Amelia Earhart),Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,521,537,03/01/23,Satellogic,Argentina,Cape Canaveral,Falcon 9,2023-001AN,55045,No Comments
„uSat-35 (Williamina),Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,Sun-Synchronous,521,537,03/01/23,Satellogic,Argentina,Cape Canaveral,Falcon 9,2023-001AR,55048,No Comments
OneWeb-0532             ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004A,55140,No Comments
OneWeb-0533                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004B,55141,No Comments
OneWeb-0541                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004C,55142,No Comments
OneWeb-0543                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004D,55143,No Comments
OneWeb-0544                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004E,55144,No Comments
OneWeb-0553                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043K,56055,No Comments
OneWeb-0554                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043L,56056,No Comments
OneWeb-0555                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043M,56057,No Comments
OneWeb-0557                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043N,56058,No Comments
OneWeb-0558                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043P,56059,No Comments
OneWeb-0559                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043Q,56060,No Comments
OneWeb-0560                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004F,55145,No Comments
OneWeb-0564                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029F,55801,No Comments
OneWeb-0565                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004G,55146,No Comments
OneWeb-0566                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043R,56061,No Comments
OneWeb-0567                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004H,55147,No Comments
OneWeb-0568                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043S,56062,No Comments
OneWeb-0569                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004J,55148,No Comments
OneWeb-0570                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004K,55149,No Comments
OneWeb-0571                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004L,55150,No Comments
OneWeb-0572                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004M,55151,No Comments
OneWeb-0573                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004N,55152,No Comments
OneWeb-0574                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043T,56063,No Comments
OneWeb-0575                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043U,56064,No Comments
OneWeb-0576                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043V,56065,No Comments
OneWeb-0577                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043W,56066,No Comments
OneWeb-0578                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043X,56067,No Comments
OneWeb-0579                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043Y,56068,No Comments
OneWeb-0581                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043Z,56069,No Comments
OneWeb-0588                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004P,55153,No Comments
